Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RA Jadeja (CSK/GL/Kochi/RR),2008-2023,226,173,71,2692,62*,26.39,2093,128.61,-,2,8,193,99
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2023,123,117,4,2597,106,22.98,1943,133.65,1,13,7,255,97
N Rana (KKR/MI),2016-2023,105,99,9,2594,87,28.82,1918,135.24,-,18,7,229,131
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,-,17,9,255,44
DR Smith (CSK/DC/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2,-,17,8,245,117
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
Ishan Kishan (GL/MI),2016-2023,91,85,6,2324,99,29.41,1731,134.25,-,15,6,220,103
HH Pandya (GT/MI),2015-2023,123,115,39,2309,91,30.38,1583,145.86,-,10,5,172,125
AD Russell (DC/KKR),2012-2023,112,96,18,2262,88*,29,1300,174,-,10,5,150,193
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,-,11,3,268,28
KS Williamson (GT/SRH),2015-2023,77,75,17,2101,89,36.22,1667,126.03,-,18,2,181,64
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2,-,15,8,214,78
RA Tripathi (KKR/RPS/RR/SRH),2017-2023,89,87,11,2071,93,27.25,1490,138.99,-,11,4,205,78
AC Gilchrist (DC/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92
JP Duminy (DC/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,-,14,1,126,79
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39
RD Gaikwad (CSK),2020-2023,52,51,5,1797,101*,39.06,1326,135.52,1,14,4,159,73
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,-,6,15,176,38
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,-,7,8,156,40
PP Shaw (DC),2018-2023,71,71,-,1694,99,23.85,1162,145.78,-,13,7,208,56
KC Sangakkara (DC/KXIP/SRH),2008-2013,71,68,3,1687,94,25.95,1392,121.19,-,10,4,195,27
DJ Bravo (CSK/GL/MI),2008-2022,161,113,44,1560,70*,22.6,1204,129.56,-,5,5,120,66
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,-,6,8,121,79
D Padikkal (RCB/RR),2020-2023,57,57,2,1521,101*,27.65,1213,125.39,1,9,3,166,42
KH Pandya (LSG/MI),2016-2023,113,99,30,1514,86,21.94,1135,133.39,-,1,6,136,56
KK Nair (DC/KXIP/RCB/RR),2013-2022,76,68,5,1496,83*,23.74,1171,127.75,-,10,3,161,39
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,-,8,1,111,50
MP Stoinis (DC/KXIP/LSG/RCB),2016-2023,82,74,20,1478,89*,27.37,1051,140.62,-,7,8,111,75
S Badrinath (CSK),2008-2013,95,67,20,1441,71*,30.65,1212,118.89,-,11,6,154,28
AR Patel (DC/KXIP),2014-2023,136,101,32,1418,54,20.55,1084,130.81,-,1,6,88,69
EJG Morgan (KKR/KXIP/RCB/SRH),2010-2021,83,75,13,1405,68*,22.66,1146,122.6,-,5,6,112,64
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,-,6,3,122,43
SC Ganguly (KKR/PWI),2008-2012,59,56,3,1349,91,25.45,1263,106.8,-,7,4,137,42
CA Lynn (DC/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,-,10,3,132,66
DJ Hussey (CSK/KKR/KXIP),2008-2014,64,61,12,1322,71,26.97,1075,122.97,-,5,4,90,60
DJ Hooda (KXIP/LSG/PBKS/RR/SRH),2015-2023,107,87,15,1320,64,18.33,1026,128.65,-,7,3,80,58
JM Bairstow (PBKS/SRH),2019-2022,39,39,3,1291,114,35.86,905,142.65,1,9,2,133,55
N Pooran (KXIP/LSG/PBKS/SRH),2019-2023,62,59,12,1270,77,27.02,810,156.79,-,6,8,77,91
KM Jadhav (CSK/DC/Kochi/RCB/SRH),2010-2023,95,81,27,1208,69,22.37,981,123.13,-,4,6,102,40
YBK Jaiswal (RR),2020-2023,37,37,1,1172,124,32.55,788,148.73,1,8,3,144,48
TM Dilshan (DC/RCB),2008-2013,52,50,7,1153,76*,26.81,1007,114.49,-,9,6,140,24
IK Pathan (DC/GL/KXIP/RPS/SRH),2008-2017,103,82,29,1139,60,21.49,946,120.4,-,1,3,87,37
SO Hetmyer (DC/RCB/RR),2019-2023,60,57,22,1130,75,32.28,743,152.08,-,4,1,67,75
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,-,8,1,121,44
S Dube (CSK/RCB/RR),2019-2023,51,47,8,1106,95*,28.35,780,141.79,-,6,1,58,73
M Vohra (KXIP/LSG/RCB/RR),2013-2023,56,51,2,1083,95,22.1,829,130.63,-,3,3,104,43
LMP Simmons (MI),2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44
SP Narine (KKR),2012-2023,162,96,20,1046,75,13.76,655,159.69,-,4,15,114,64
MM Ali (CSK/RCB),2018-2023,59,52,6,1034,93,22.47,723,143.01,-,5,5,88,59
V Shankar (CSK/DC/GT/SRH),2014-2023,65,53,14,1032,63*,26.46,787,131.13,-,6,2,73,43
LRPL Taylor (DC/PWI/RCB/RR),2008-2014,55,54,14,1017,81*,25.42,822,123.72,-,3,3,66,46
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,-,5,2,87,28
Y Venugopal Rao (DC/SRH),2008-2014,65,54,10,985,71*,22.38,836,117.82,-,3,2,77,37
A Symonds (DC/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,-,74,41
JA Morkel (CSK/DC/RCB/RPS),2008-2016,91,68,28,974,73*,24.35,686,141.98,-,3,3,61,55
VR Iyer (KKR),2021-2023,36,36,2,956,104,28.11,734,130.24,1,7,2,86,42
CL White (DC/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,-,6,4,76,36
BA Stokes (CSK/RPS/RR),2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32
DP Conway (CSK),2022-2023,23,22,3,924,92*,48.63,654,141.28,-,9,2,99,30
Abhishek Sharma (DC/SRH),2018-2023,47,45,6,893,75,22.89,650,137.38,-,4,2,92,31
HH Gibbs (DC/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,-,6,4,83,31
STR Binny (MI/RCB/RR),2010-2019,95,68,22,880,48*,19.13,683,128.84,-,-,7,66,35
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64,15.71,604,137.91,-,1,13,79,42
LS Livingstone (PBKS/RR),2019-2023,32,32,4,828,94,29.57,500,165.6,-,6,-,58,59
R Tewatia (DC/GT/KXIP/RR),2014-2023,81,56,23,825,53,25,623,132.42,-,1,-,60,42
MS Bisla (KKR/KXIP/RCB),2010-2015,39,39,1,798,92,21,702,113.67,-,4,3,93,23
Shakib Al Hasan (KKR/SRH),2011-2021,71,52,12,793,66*,19.82,637,124.48,-,2,4,73,21
AK Markram (PBKS/SRH),2021-2023,33,31,7,775,68*,32.29,590,131.35,-,4,1,55,31
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39
NT Tilak Varma (MI),2022-2023,25,25,6,740,84*,38.94,512,144.53,-,3,1,55,39
GC Smith (PWI/RR),2008-2011,29,29,3,739,91,28.42,668,110.62,-,4,3,94,9
RK Singh (KKR),2018-2023,31,29,9,725,67*,36.25,510,142.15,-,4,-,54,38
AD Mathews (DC/KKR/PWI),2009-2017,49,42,11,724,65*,23.35,575,125.91,-,1,3,44,29
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2023,197,85,31,714,50,13.22,601,118.8,-,1,11,56,24
TL Suman (DC/MI/PWI),2009-2013,43,40,8,676,78*,21.12,575,117.56,-,2,3,55,26
AM Nayar (KXIP/MI/PWI/RR),2008-2014,60,50,12,672,45*,17.68,577,116.46,-,-,3,55,20
GJ Bailey (CSK/KXIP/RPS),2009-2016,40,37,10,663,61*,24.55,544,121.87,-,2,1,59,19
E Lewis (LSG/MI/RR),2018-2022,27,26,2,654,65,27.25,477,137.1,-,4,2,62,36
CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*,22.07,398,155.27,-,2,9,41,35
JJ Roy (DC/GL/KKR/SRH),2017-2023,21,21,2,614,91*,32.31,443,138.6,-,4,-,75,21
SM Curran (CSK/KXIP/PBKS),2019-2023,46,36,11,613,55*,24.52,428,143.22,-,3,3,50,31
PP Chawla (CSK/KKR/KXIP/MI),2008-2023,181,86,34,609,24*,11.71,548,111.13,-,-,14,55,19
JD Ryder (PWI/RCB),2009-2012,29,29,1,604,86,21.57,458,131.87,-,4,4,69,19
MR Marsh (DC/PWI/RPS/SRH),2010-2023,38,32,2,604,89,20.13,483,125.05,-,3,4,39,35
R Parag (RR),2019-2023,54,44,7,600,56*,16.21,484,123.96,-,2,3,44,27
SN Khan (DC/KXIP/PBKS/RCB),2015-2023,50,37,11,585,67,22.5,448,130.58,-,1,3,63,14
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
JM Sharma (PBKS),2022-2023,26,24,3,543,49*,25.85,341,159.23,-,-,1,44,33
CJ Anderson (DC/MI/RCB),2014-2018,30,29,7,538,95*,24.45,423,127.18,-,3,2,40,31
RS Bopara (KXIP/SRH),2009-2015,24,22,4,531,84,29.5,453,117.21,-,3,2,39,16
JP Faulkner (GL/KXIP/PWI/RR),2011-2017,60,45,20,527,46,21.08,389,135.47,-,-,-,36,23
H Klaasen (RCB/RR/SRH),2018-2023,19,17,3,514,104,36.71,310,165.8,1,2,1,37,26
M Manhas (CSK/DC/PWI),2008-2014,55,38,15,514,42*,22.34,470,109.36,-,-,6,43,10
Gurkeerat Singh (KXIP/RCB),2012-2020,41,32,8,511,65,21.29,422,121.09,-,2,4,55,11
B Sai Sudharsan (GT),2022-2023,13,13,2,507,96,46.09,370,137.02,-,4,-,47,15
OA Shah (KKR/Kochi/RR),2010-2013,23,22,7,506,76,33.73,389,130.07,-,4,-,34,23
PC Valthaty (KXIP/RR),2009-2013,23,23,1,505,120*,22.95,418,120.81,1,2,1,60,20
SW Billings (CSK/DC/KKR),2016-2022,30,27,1,503,56,19.34,388,129.63,-,3,3,40,20
DT Christian (DC/RCB/RPS),2011-2021,49,41,10,460,39,14.83,398,115.57,-,-,2,23,19
C Green (MI),2023-2023,16,16,7,452,100*,50.22,282,160.28,1,2,-,40,22
Rashid Khan (GT/SRH),2017-2023,109,52,20,443,79*,13.84,266,166.54,-,1,14,28,35
M Shahrukh Khan (PBKS),2021-2023,33,31,10,426,47,20.28,316,134.81,-,-,2,26,28
SA Asnodkar (RR),2008-2011,20,20,-,423,60,21.15,339,124.77,-,2,3,56,10
Prabhsimran Singh (KXIP/PBKS),2019-2023,20,20,-,422,103,21.1,304,138.81,1,1,2,44,21
NLTC Perera (CSK/Kochi/KXIP/MI/RPS/SRH),2010-2016,37,30,8,422,40,19.18,307,137.45,-,-,1,23,26
TH David (MI/RCB),2021-2023,25,24,9,418,46,27.86,235,177.87,-,-,2,24,31
JR Hopes (DC/KXIP),2008-2011,21,19,3,417,71,26.06,306,136.27,-,4,1,49,11
J Botha (DC/KKR/RR),2009-2015,34,28,8,409,67*,20.45,359,113.92,-,1,-,39,5
LR Shukla (DC/KKR),2008-2014,47,34,7,405,48*,15,350,115.71,-,-,3,33,15
RM Patidar (RCB),2021-2022,12,11,1,404,112*,40.4,280,144.28,1,2,-,30,21
MK Lomror (RCB/RR),2018-2023,30,25,4,402,54*,19.14,305,131.8,-,1,1,24,21
AL Menaria (RR),2011-2013,29,23,2,401,40,19.09,356,112.64,-,-,1,24,18
